,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Researchers at @UW reported an increased risk of Alzheimer’s disease for patients with recent #glaucoma diagnoses,… https://t.co/sV1sDcrl9C",FALSE,0,NA,1/29/2020 16:03,TRUE,NA,1.22E+18,NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",A4MEvents,0,FALSE,FALSE,NA,NA
2,RT @BenBikmanPhD: What a remarkable finding: #insulinresistance may trigger earlier #Alzheimers in people with #Downsyndrome. (Another inst…,FALSE,0,NA,1/29/2020 16:01,FALSE,NA,1.22E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",swatts2008,9,TRUE,FALSE,NA,NA
3,2020 Goals for Alzheimer’s in Salt Lake City https://t.co/YeJOhv6xVC #Caregiving #Alzheimers https://t.co/TAp45kCwjt,FALSE,0,NA,1/29/2020 16:01,FALSE,NA,1.22E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",BrightStarSLC,0,FALSE,FALSE,NA,NA
4,RT @BenBikmanPhD: What a remarkable finding: #insulinresistance may trigger earlier #Alzheimers in people with #Downsyndrome. (Another inst…,FALSE,0,NA,1/29/2020 16:01,FALSE,NA,1.22E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",krtspacemagic,9,TRUE,FALSE,NA,NA
5,RT @BenBikmanPhD: What a remarkable finding: #insulinresistance may trigger earlier #Alzheimers in people with #Downsyndrome. (Another inst…,FALSE,0,NA,1/29/2020 16:01,FALSE,NA,1.22E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SaraTirner,9,TRUE,FALSE,NA,NA
6,Are you Concerned about Alzheimer's disease? https://t.co/sTQUHdhU0d #hearingaiddoctors #DrAnzola #AscentStrong… https://t.co/y7lAoMQrp5,FALSE,0,NA,1/29/2020 15:58,TRUE,NA,1.22E+18,NA,"<a href=""https://seosamba.com/"" rel=""nofollow"">MHub Social SeoSamba</a>",HearingAidDocs1,0,FALSE,FALSE,NA,NA
7,RT @BenBikmanPhD: What a remarkable finding: #insulinresistance may trigger earlier #Alzheimers in people with #Downsyndrome. (Another inst…,FALSE,0,NA,1/29/2020 15:58,FALSE,NA,1.22E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shashiiyengar,9,TRUE,FALSE,NA,NA
8,"Beller Medical 
""Medical information you can trust!""
https://t.co/3O9ND6ioSl #medicalresearch

#HealthyLiving… https://t.co/36ePYTLsKO",FALSE,1,NA,1/29/2020 15:58,TRUE,NA,1.22E+18,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",BellerMedical,0,FALSE,FALSE,NA,NA
9,"Today! Today's the day you can raise #Alzheimers awareness, support @AlzCanada #tbay and get your book signed, all… https://t.co/pHOnxdUabV",FALSE,0,NA,1/29/2020 15:57,TRUE,NA,1.22E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",shuniahwriter,0,FALSE,FALSE,NA,NA
10,"As you watch #SuperBowlLIV ads pay attention to this powerful one @Google featuring ""Loretta"" and her husband… https://t.co/w0MzAqPNbr",FALSE,1,NA,1/29/2020 15:57,TRUE,NA,1.22E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",healthythinker,0,FALSE,FALSE,NA,NA
